# Time-averaged data for fix myat2
# TimeStep v_longforce
68100 -18.6127
68200 -8.87547
68300 10.8999
68400 3.54254
68500 3.51412
68600 8.57971
68700 5.38589
68800 1.29584
68900 -5.91982
69000 -6.54807
69100 -9.30852
69200 4.67792
69300 5.95304
69400 1.91574
69500 3.94828
69600 -4.23511
69700 -2.02793
69800 6.62166
69900 3.48335
70000 -4.41287
70100 0.0554905
70200 0.63114
70300 4.08031
70400 1.99739
70500 1.40458
70600 -7.93314
70700 4.65239
70800 9.12872
70900 -6.99479
71000 -5.64733
71100 -9.56448
71200 11.9805
71300 5.00844
71400 -3.34581
71500 0.58886
71600 -1.82436
71700 4.51083
71800 2.65698
71900 1.41065
72000 -3.99162
72100 -5.90678
72200 6.8258
72300 -1.22431
72400 -0.205852
72500 -0.280139
72600 -3.82676
72700 6.53543
72800 6.7861
72900 -5.26261
73000 -1.02343
73100 -9.91774
73200 5.66429
73300 8.58822
73400 3.46029
73500 4.60991
73600 -3.3305
73700 0.603185
73800 5.01641
73900 -2.21195
74000 1.4258
74100 -11.94
74200 -2.99003
74300 4.8546
74400 5.93543
74500 6.62154
74600 2.75554
74700 0.547651
74800 2.84237
74900 -2.75354
75000 -10.3039
75100 -10.8738
75200 -1.43535
75300 10.1082
75400 1.67406
75500 8.28975
75600 2.46945
75700 0.0286522
75800 -2.47187
75900 2.1506
76000 -1.58969
76100 -6.58305
76200 -3.49851
76300 -3.42387
76400 5.4805
76500 5.27862
76600 -2.22992
76700 7.33557
76800 6.59445
76900 -2.04641
77000 2.19153
77100 -11.0341
77200 -2.56584
77300 -1.18868
77400 1.48322
77500 5.25002
77600 1.77924
77700 6.36347
77800 3.46148
77900 -2.77158
78000 3.01087
78100 -7.23169
78200 -1.70772
78300 -1.99429
78400 -0.522308
78500 3.48473
78600 0.898559
78700 4.11102
78800 1.25409
78900 1.21285
79000 2.34699
79100 -4.66109
79200 -1.76586
79300 -0.353353
79400 -3.94416
79500 3.5363
79600 1.49281
79700 3.0692
79800 2.04008
79900 -1.73741
80000 4.64921
80100 -9.54305
80200 1.57351
80300 1.66302
80400 4.18378
80500 5.62216
80600 -6.34261
80700 -2.24966
80800 4.05221
80900 -0.542702
81000 3.02322
81100 -5.41032
81200 -1.02321
81300 5.91121
81400 0.0932447
81500 9.11447
81600 -1.03865
81700 -1.38791
81800 -0.235564
81900 -8.56285
