# Time-averaged data for fix myat1
# TimeStep v_L
101300 53.981
101400 53.981
101500 53.981
101600 53.981
101700 53.981
101800 53.981
101900 53.981
102000 53.981
102100 54.181
102200 54.181
102300 54.181
102400 54.181
102500 54.181
102600 54.181
102700 54.181
102800 54.181
102900 54.181
103000 54.181
103100 54.381
103200 54.381
103300 54.381
103400 54.381
103500 54.381
103600 54.381
103700 54.381
103800 54.381
103900 54.381
104000 54.381
104100 54.581
104200 54.581
104300 54.581
104400 54.581
104500 54.581
104600 54.581
104700 54.581
104800 54.581
104900 54.581
105000 54.581
