# Time-averaged data for fix at2
# TimeStep v_fedgeZ f_mysf2[3]
26530 -1.86793 -2.93143
26540 -2.18772 -3.43329
26550 -1.48081 -2.3239
26560 -0.502848 -0.789141
26570 -0.908566 -1.42585
26580 -1.66365 -2.61083
26590 -1.33136 -2.08936
26600 -1.11032 -1.74248
26610 -1.40706 -2.20816
26620 -1.22336 -1.91988
26630 -0.582958 -0.91486
26640 -0.682611 -1.07125
26650 -1.26011 -1.97754
26660 -0.99492 -1.56137
26670 -0.732804 -1.15002
26680 -1.30609 -2.04971
26690 -1.6118 -2.52947
26700 -1.36856 -2.14774
26710 -1.56832 -2.46123
26720 -1.68445 -2.64348
26730 -0.700005 -1.09855
26740 0.276807 0.434405
26750 -0.193799 -0.304137
26760 -0.831973 -1.30565
26770 -0.539503 -0.846665
26780 -0.449476 -0.705382
26790 -0.870244 -1.36571
26800 -0.602758 -0.945933
26810 0.200001 0.31387
26820 0.169304 0.265695
26830 -0.489672 -0.768464
26840 -0.674768 -1.05894
26850 -0.556328 -0.87307
26860 -0.733513 -1.15113
26870 -0.876004 -1.37475
26880 -0.931742 -1.46222
26890 -1.29151 -2.02681
26900 -1.55192 -2.4355
26910 -1.24222 -1.94946
26920 -0.933112 -1.46437
26930 -1.18137 -1.85397
26940 -1.33009 -2.08737
26950 -1.1814 -1.85401
26960 -1.09255 -1.71458
26970 -1.30492 -2.04787
26980 -1.54969 -2.432
26990 -1.36964 -2.14944
27000 -0.738191 -1.15847
27010 -0.525301 -0.824377
27020 -0.850952 -1.33543
27030 -0.866023 -1.35909
27040 -0.443976 -0.696751
27050 -0.583078 -0.915049
27060 -1.14294 -1.79367
27070 -0.976334 -1.5322
27080 -0.460766 -0.723099
27090 -0.657588 -1.03198
27100 -1.20124 -1.88516
27110 -0.925181 -1.45193
27120 -0.592218 -0.929394
27130 -0.7831 -1.22895
27140 -0.687902 -1.07955
27150 -0.243168 -0.381614
27160 -0.30387 -0.476876
27170 -0.606452 -0.95173
27180 -0.164053 -0.257455
27190 0.00959998 0.0150657
27200 -0.658249 -1.03302
27210 -0.569962 -0.894465
27220 0.383668 0.602107
27230 -0.0660529 -0.10366
27240 -1.21588 -1.90813
27250 -0.915826 -1.43724
27260 -0.128109 -0.201047
27270 -0.461855 -0.724809
27280 -0.921697 -1.44646
27290 -0.61689 -0.968112
27300 -0.63259 -0.992751
27310 -1.25979 -1.97704
27320 -1.02706 -1.61181
27330 -0.350314 -0.549763
27340 -0.592617 -0.930019
27350 -1.08918 -1.70929
27360 -0.994535 -1.56077
27370 -0.93861 -1.473
27380 -1.38122 -2.1676
27390 -1.27854 -2.00647
27400 -0.582274 -0.913788
27410 -0.430326 -0.675329
27420 -0.618299 -0.970323
27430 -0.291206 -0.457003
27440 0.0636481 0.0998857
27450 -0.680612 -1.06811
27460 -1.40975 -2.21238
27470 -1.1095 -1.74118
27480 -0.717515 -1.12603
27490 -0.950875 -1.49225
27500 -1.17048 -1.83689
27510 -1.05255 -1.65181
27520 -0.825275 -1.29514
27530 -0.630881 -0.990068
27540 -0.585776 -0.919283
27550 -0.590157 -0.926159
27560 -0.660975 -1.0373
27570 -0.891373 -1.39887
27580 -1.0729 -1.68375
27590 -1.01269 -1.58926
27600 -0.670105 -1.05162
27610 -0.562545 -0.882826
27620 -0.766978 -1.20365
27630 -1.05524 -1.65603
27640 -1.33988 -2.10273
27650 -1.43727 -2.25557
27660 -0.812466 -1.27504
27670 -0.171309 -0.268842
27680 -0.407688 -0.639803
27690 -0.801721 -1.25817
27700 -0.73221 -1.14909
27710 -1.05206 -1.65103
27720 -1.81341 -2.84586
27730 -1.65401 -2.5957
27740 -0.528201 -0.828928
27750 -0.152544 -0.239394
27760 -0.741499 -1.16367
27770 -0.743225 -1.16637
27780 -0.239425 -0.37574
27790 -0.686562 -1.07745
27800 -1.18029 -1.85228
27810 -0.761134 -1.19448
27820 -0.630288 -0.989138
27830 -1.15626 -1.81456
27840 -1.03892 -1.63042
27850 -0.527103 -0.827205
27860 -0.885585 -1.38979
27870 -1.38995 -2.18131
27880 -0.987885 -1.55033
27890 -0.58502 -0.918096
27900 -0.810297 -1.27163
27910 -0.657121 -1.03125
27920 -0.118402 -0.185813
27930 -0.323732 -0.508047
27940 -0.946886 -1.48599
27950 -0.792043 -1.24299
27960 -0.10633 -0.166868
27970 0.0236285 0.0370812
27980 -0.118179 -0.185464
27990 0.277026 0.434749
28000 0.654303 1.02683
28010 0.47266 0.741765
28020 0.147065 0.230795
28030 -0.179232 -0.281277
28040 -0.271347 -0.425836
28050 -0.0413497 -0.0648918
28060 0.0355696 0.0558209
28070 -0.425565 -0.667857
28080 -0.897219 -1.40804
28090 -1.00318 -1.57434
28100 -1.23279 -1.93467
28110 -1.39618 -2.19109
28120 -1.17037 -1.83671
28130 -0.669485 -1.05065
28140 -0.384591 -0.603555
28150 -0.167755 -0.263265
28160 -0.0329703 -0.0517417
28170 0.0612704 0.0961542
28180 0.11296 0.177273
28190 0.178838 0.280658
28200 -0.121741 -0.191054
28210 -0.638765 -1.00244
28220 -0.49654 -0.779241
28230 -0.0492471 -0.0772855
28240 -0.359086 -0.563529
28250 -0.439365 -0.689513
28260 0.44365 0.696239
